"ID","status","sentence","sparqlQald"
"0","N","Wann fand die Schlacht von Gettysburg statt?",,"N"
"1","N","Liste alle Musicals mit Musik von Elton John auf.",,"N"
"2","N","Wie hoch ist der Leuchtturm in Colombo?",,"N"
"3","N","Wer war die Frau von US-Pr├ñsident Lincoln?",,"N"
"4","N","Wer moderiert die BBC Wildlife Specials?",,"N"
"5","N","Wieviel hat Pulp Fiction gekostet?",,"N"
"6","N","In welcher Stadt ist die Heinekenbrauerei?",,"N"
"7","N","Wann wurde die Operation Overlord durchgef├╝hrt?",,"N"
"8","N","In welcher Stadt h├Ârt die Ruta 68 auf?",,"N"
"9","N","Wer hat Slack entwickelt?",,"N"
"10","N","Wer war mit Jacques Chirac verheiratet?",,"N"
"11","N","Woran ist Abraham Lincoln gestorben?",,"N"
"12","N","Wer malte Christus im Sturm auf dem See von Galilea?",,"N"
"13","N","Durch welche St├ñdte flie├ƒt die Zeravshan?",,"N"
"14","N","Wieviele Pl├ñtze hat das Heimstadium des FC Porto?",,"N"
"15","WORK","Mit wem ist die Tochter von Robert Kennedy verheiratet?",,"SELECT ?Answer WHERE { <http://dbpedia.org/resource/Robert_F._Kennedy> <http://dbpedia.org/ontology/child> ?Answer .}"
"16","N","Welche B├╝cher von Kerouac wurden von Viking Press verlegt?",,"N"
"17","N","Wie gro├ƒ ist Amazon Eve?",,"N"
"18","N","In welchem Museum ist Der Schrei von Munch ausgestellt?",,"N"
"19","N","Wer schrieb das Buch Die S├ñulen der Erde?",,"N"
"20","N","Ist James Bond verheiratet?",,"N"
"21","N","Wer entdeckte Ceres?",,"N"
"22","N","Welchen Fluss ├╝berspannt die Brooklyn Bridge?",,"N"
"23","N","Wer wurde Eagles genannt?",,"N"
"24","N","Was ist das gr├Â├ƒte Land der Welt?",,"N"
"25","N","Wer ist B├╝rgermeister von Paris?",,"N"
"26","N","Wer ist der Trainer von Ankaras Eishockeymannschaft?",,"N"
"27","N","Wer ist der B├╝rgermeister der Hauptstadt von Russland?",,"N"
"28","N","Welche Preise hat Douglas Hofstadter gewonnen?",,"N"
"29","N","Wieviel hat der Legofilm gekostet?",,"N"
"30","N","Wo f├ñngt Piccadilly an?",,"N"
"31","N","Haben Prinz Harry und Prinz William dieselben Eltern?",,"N"
"32","N","Wer hat Agent Smith gespielt?",,"N"
"33","N","Wieviele Sprachen werden in Turkmenistan gesprochen?",,"N"
"34","N","In welchen Filmen spielen sowohl Julia Roberts als auch Richard Gere mit?",,"N"
"35","N","In welchem Land entspringt der Ganges?",,"N"
"36","N","In welchem Jahr wurde Rachel Stevens geboren?",,"N"
"37","N","Ist Barack Obama ein Demokrat?",,"N"
"38","N","Wo wurde Johann Sebastian Bach geboren?",,"N"
"39","N","Wie oft hat Jane Fonda geheiratet?",,"N"
"40","N","Wer hat als erstes den Mount Everest bestiegen?",,"N"
"41","N","Wieviele Menschen leben in Polen?",,"N"
"42","N","Wo ist der Westminster-Palast?",,"N"
"43","N","Spielt Christian Bale in Batman Begins mit?",,"N"
"44","N","In welchem Land befindet sich der Limerick Lake?",,"N"
"45","N","Was war der letzte Film mit Alec Guinness?",,"N"
"46","N","Was ist der h├Âchste Berg in Australien?",,"N"
"47","N","Lebt Frank Herbert noch?",,"N"
"48","N","Wer hat sich Family Guy ausgedacht?",,"N"
"49","N","Was ist die Amtssprache Von Surinam?",,"N"
"50","N","Wer hat das Lied Hotel California geschrieben?",,"N"
"51","N","Gib mir alle Schauspieler von Filmen, in denen William Shatner Regie gef├╝hrt hat.",,"N"
"52","N","Was ist in Chocolate Chip Cookies drin?",,"N"
"53","N","Gib mir alle Profiskateboarder aus Schweden.",,"N"
"54","N","Welche Zutaten brauche ich f├╝r M├Âhrenkuchen?",,"N"
"55","N","Spielt Neymar f├╝r Real Madrid?",,"N"
"56","N","Welcher Informatiker hat einen Oscar gewonnen?",,"N"
"57","N","Wieviele Firmen wurden im selben Jahr wie Google gegr├╝ndet?",,"N"
"58","N","In welcher Stadt im Vereinigten K├Ânigreich ist das Hauptquartier des MI6?",,"N"
"59","N","War die Kubakrise vor der Schweinebuchtinvasion?",,"N"
"60","N","F├╝r was steh IYCM?",,"N"
"61","N","Wann endete die Japanisches Kaiserreich?",,"N"
"62","N","Liste alle Episoden der ersten Staffel der HBO-Fernsehserie Die Sopranos auf.",,"N"
"63","WORK","Was ist die Gesamteinwohnerzahl von Melbourne, Florida?",,"SELECT ?Answer WHERE { <http://dbpedia.org/resource/Melbourne> <http://dbpedia.org/ontology/populationTotal> ?Answer .}"
"64","N","Hat Arnold Schwarzenegger eine Universit├ñt besucht?",,"N"
"65","N","In welchem Land ist der Mount Everest?",,"N"
"66","N","Was ist die gr├Â├ƒte Stadt in Australien?",,"N"
"67","N","Gib mir alle von der NASA betriebenen Startrampen.",,"N"
"68","N","Wer ist der B├╝rgermeister von Florenz?",,"N"
"69","N","Liste alle Episoden der ersten Staffel der HBO-Fernsehserie Die Sopranos auf.",,"N"
"70","N","Wer hat Batman erfunden?",,"N"
"71","N","Wer hat Gus Fring gespielt?",,"N"
"72","N","In welcher Programmiersprache wurde GIMP geschrieben?",,"N"
"73","N","In welchem alten Reich konnte man mit Kakaobohnen bezahlen?",,"N"
"74","N","Wer ist der Herausgeber von Forbes?",,"N"
"75","N","Wieviele Menschen leben in der Hauptstadt Australiens?",,"N"
"76","N","Welche Profisurfer wurden in Australien geboren?",,"N"
"77","N","Welche Elektronikunternehmen wurden in Peking gegr├╝ndet?",,"N"
"78","WORK","Gib mir alle Videospiele von Mean Hamster Software.",,"SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/publisher> <http://dbpedia.org/resource/Mean_Hamster_Software> .}"
"79","N","Wieviele Aldi-Filialen gibt es?",,"N"
"80","WORK","Was ist die Hauptstadt von Kamerun?",,"SELECT ?Answer WHERE { <http://dbpedia.org/resource/Kamerun> <http://dbpedia.org/ontology/capital> ?Answer .}"
"81","N","Gibt es ein Videospiel, das Battle Chess hei├ƒt?",,"N"
"82","N","Hie├ƒ die Frau von Pr├ñsident Lincoln Mary?",,"N"
"83","N","Gib mir alle Filme, bei denen Francis Ford Coppola Regie gef├╝hrt hat.",,"N"
"84","N","Welcher von Tim Burtons Filmen hatte das h├Âchste Budget?",,"N"
"85","N","Hat Breaking Bad mehr Episoden als Game of Thrones?",,"N"
"86","N","Wer wurde Rodzilla genannt?",,"N"
"87","N","Wurde Natalie Portman in den Vereinigten Staaten geboren?",,"N"
"88","WORK","Gib mir die Enkel von Elvis Presley.",,"SELECT ?Answer WHERE { <http://dbpedia.org/resource/Lisa_Marie_Presley> <http://dbpedia.org/ontology/parent> ?Answer .}"
"89","N","Bei welchen Filmen, in denen Mickey Rourke mitspielt, hat Guy Ritchie Regie gef├╝hrt?",,"N"
"90","N","Wann ist Draculas Sch├Âpfer gestorben?",,"N"
"91","N","Aus welchem Land kommt der Erfinder von Nijntje?",,"N"
"92","N","Was ist Batmans richtiger Name?",,"N"
"93","N","Welche Regierungsform hat Russland?",,"N"
"94","N","Wieviele Firmen hat der Gr├╝nder von Facebook gegr├╝ndet?","N"
"95","N","Gib mir alle kanadischen Grunge-Plattenfirmen.",,"N"
"96","N","Wieviele Kinder hatte Benjamin Franklin?",,"N"
"97","WORK","Liste die Kinder von Margaret Thatcher auf.",,"SELECT ?Answer WHERE { <http://dbpedia.org/resource/Margaret_Thatcher> <http://dbpedia.org/ontology/child> ?Answer .}"
"98","N","Aus welcher Region ist der Melon de Bourgogne?",,"N"
"99","N","Wer ist das ├ñlteste Kind von Meryl Streep?",,"N"
"100","N","Sind Laubfr├Âsche Amphibien?",,"N"
"101","N","Spielt Christian Bale in Velvet Goldmine mit?",,"N"
"102","WORK","Liste alle Spiele von GMT Games auf.",,"SELECT ?Answer WHERE { ?Answer <http://dbpedia.org/ontology/publisher> <http://dbpedia.org/resource/GMT_Games> .}"
"103","N","Flie├ƒt die Isar in einen See?",,"N"
"104","N","Welche Flugh├ñfen fliegt Yeti Airlines an?",,"N"
"105","N","Welches indische Unternehmen hat die meisten Angestellten?",,"N"
"106","N","Welche Farbe steht f├╝r den Reichtum?",,"N"
"107","N","Welche Stadt hat die meisten Einwohner?",,"N"
"108","N","Wer hat Gmail gegr├╝ndet?",,"N"
"109","WORK","Ist Rita Wilson die Frau von Tom Hanks?",,"SELECT ?Answer WHERE { <http://dbpedia.org/resource/Tom_Hanks> <http://dbpedia.org/ontology/spouse> ?Answer .}"
"110","N","Hei├ƒt die Frau von Pr├ñsident Obama Michelle?",,"N"
"111","N","Wieviele ethnische Gruppen leben in Slovenien?",,"N"
"112","N","Wer ist der Pr├ñsident von Hamburgische B├╝rgerschaft?",,"N"
"113","N","Bei wievielen Filmen hat Stanley Kubrick Regie gef├╝hrt?",,"N"
"114","N","Wann wurde die Titanic fertiggestellt?",,"N"
"115","N","Wieviele Seiten hat Krieg und Frieden?",,"N"
"116","N","Wer ist der j├╝ngste Spieler in der Premier League?",,"N"
"117","N","Was ist der h├Âchste Berg in Italien?",,"N"
"118","N","Wie gro├ƒ ist Claudia Schiffer?",,"N"
"119","N","Wer war der Vizepr├ñsident unter Samuel Schmid?",,"N"
"120","N","Welche Tochtergesellschaft von Lufthansa fliegt sowohl Dortmund als auch Berlin Tegel an?",,"N"
"121","N","Wer war der Nachfolger von Patrick F. Kennedy?",,"N"
"122","N","Wer hat den Soundtrack f├╝r Camerons Titanic geschrieben?",,"N"
"123","N","Welche Filme hat Kurosawa gedreht?",,"N"
"124","N","Welche Plattenfirma hat Elvis' erstes Album aufgenommen?",,"N"
"125","N","In welcher Zeitzone liegt Rom?",,"N"
"126","N","Welche W├ñhrung benutzt China?",,"N"
"127","WORK","Wer sind die Entwickler von DBpedia?",,"SELECT ?Answer WHERE { <http://dbpedia.org/resource/DBpedia> <http://dbpedia.org/ontology/developer> ?Answer .}"
"128","N","Hat Abraham Lincolns Sterbeort eine Webseite?",,"N"
"129","N","Wer ist der K├Ânig der Australisches Parlament?",,"N"
"130","N","In welcher Stadt ist Nikos Kazantzakis gestorben?",,"N"
"131","N","Wer war der Vater von K├Ânigin Elizabeth II?",,"N"
"132","N","Gib mir eine Liste aller stark bedrohten Vogelarten.",,"N"
"133","N","Wieviele Einwohner hat die gr├Â├ƒte Stadt in Kanada?",,"N"
"134","N","An welchen milit├ñrischen Auseinandersetzungen war Lawrence von Arabien beteiligt?",,"N"
"135","N","Welches Buch hat die meisten Seiten?",,"N"
"136","N","In welchem Land entspringt der Nil?",,"N"
"137","N","Wer ist der Formel-1-Fahrer mit den meisten Rennen?",,"N"
"138","N","Welche Firmen stellen Hovercrafts her?",,"N"
"139","N","Hatte Elvis Presley Kinder?",,"N"
"140","N","In welcher Stadt ist der Pr├ñsident von Montenegro geboren?",,"N"
"141","N","In welcher Stadt ist Bill Gates geboren?",,"N"
"142","N","In welcher L├ñndern wird Japanisch gesprochen?",,"N"
"143","N","Zeig mir das Buch, das Muhammad Ali geschrieben hat.",,"N"
"144","WORK","Ist Michelle Obama die Frau von Barack Obama?",,"SELECT ?Answer WHERE { <http://dbpedia.org/resource/Barack_Obama> <http://dbpedia.org/ontology/spouse> ?Answer .}"
"145","WORK","Was ist die Vorwahl von Berlin?",,"SELECT ?Answer WHERE { <http://dbpedia.org/resource/Berlin> <http://dbpedia.org/ontology/areaCode> ?Answer .}"
"146","N","Gib mir alle Schauspieler, die in Last Action Hero mitgespielt haben.",,"N"
"147","N","Was sind die Spitznamen von San Francisco?",,"N"
"148","N","Was war das erste Queen-Album?",,"N"
"149","N","Durch welche L├ñnder flie├ƒt der Talsperre El Burguillo?",,"N"
"150","N","Welche Fernsehserien hat Walt Disney entworfen?",,"N"
"151","N","Welche Br├╝cke hat die l├ñngste Spannweite?",,"N"
"152","N","Aus welchem Land kommt Sitecore?",,"N"
"153","N","Wen hat Donald Trump geheiratet?",,"N"
"154","N","Was ist die Hauptstadt von Kanada?",,"N"
"155","N","Wer hat Friedrich Wilhelm Joseph Schelling inspiriert?",,"N"
"156","N","In welcher Stadt ist John F. Kennedy gestorben?",,"N"
"157","N","War US-Pr├ñsident Jackson in einen Krieg verwickelt?",,"N"
"158","N","Wer hat das Titellied f├╝r Games of Thrones geschrieben?",,"N"
"159","N","Wer hat die Brooklyn Bridge entworfen?",,"N"
"160","N","Wann hat Boris Becker seine aktive Karriere beendet?",,"N"
"161","N","Welche Traubenarten wachsen in Oregon?",,"N"
"162","N","Wie gro├ƒ ist Michael Jordan?",,"N"
"163","N","Welcher Partei geh├Ârt die B├╝rgermeisterin von Paris an?",,"N"
"164","N","Wer schrieb das Buch Die S├ñulen der Erde?",,"N"
"165","N","Wer war der 16. Pr├ñsident der Vereinigten Staaten?",,"N"
"166","N","Wie hoch ist der Mount Everest?",,"N"
"167","N","Wer war der Doktorvater von Albert Einstein?",,"N"
"168","N","In welcher Stadt wohnt Sylvester Stallone?",,"N"
"169","N","Was ist die W├ñhrung der Tschechischen Republik?",,"N"
"170","N","Hat Sokrates Aristoteles beeinflusst?",,"N"
"171","N","In welcher Zeitzone liegt Salt Lake City?",,"N"
"172","N","Wer ist der Sohn von Sonny und Cher?",,"N"
"173","N","In welcher Stadt ist das Hauptquartier der Vereinten Nationen?",,"N"
"174","N","Wer hat Penguin Books gegr├╝ndet?",,"N"
"175","N","Wann wurde Jack Wolfskin gegr├╝ndet?",,"N"
"176","N","Wer ist der B├╝rgermeister von Moskau?",,"N"
"177","N","Gib mir alle Schwedischen Ozeanographen.",,"N"
"178","N","Zeig mir Hemmingways Autobiographie.",,"N"
"179","N","Wer sind die Eltern der Frau von Juan Carlos I?",,"N"
"180","N","Hat Tesla den Nobelpreis f├╝r Physik gewonnen?",,"N"
"181","N","Wer ist der h├Âchste Basketballspieler?",,"N"
"182","N","Welche Stadt hat die wenigsten Einwohner?",,"N"
"183","N","Ist Proinsulin ein Protein?",,"N"
"184","N","Wer waren die Eltern von K├Ânigin Viktoria?",,"N"
"185","N","Hatte Che Guevara Kinder?",,"N"
"186","N","Ist der Baikalsee gr├Â├ƒer als der Gro├ƒe B├ñrensee?",,"N"
"187","N","Hat Kaurism├ñki jemals den Gro├ƒen Preis der Jury in Cannes gewonnen?",,"N"
"188","N","Gib mir alle B├╝cher von William Goldman mit mehr als 300 Seiten.",,"N"
"189","N","Wo liegt Fort Knox?",,"N"
"190","N","In welchem US-Bundesstaat liegt Fort Knox?",,"N"
"191","N","Wo liegt Syngman Rhee begraben?",,"N"
"192","N","In welcher Zeitzone liegt San Pedro de Atacama?",,"N"
"193","N","Welcher Stilrichtung geh├Ârte der Maler der Drei T├ñnzer an?",,"N"
"194","N","Welcher Wissenschaftler ist bekannt f├╝r das Manhattan-Projekt und den Friedensnobelpreis?",,"N"
"195","N","Zeig mir alle B├╝cher in Asimovs Foundation-Serie.",,"N"
"196","N","Gib mir alle St├ñdte in New Jersey, die mehr als 100000 Einwohner haben.",,"N"
"197","N","Welches Museum in New York hat die meisten Besucher?",,"N"
"198","N","Wie hoch ist der Yokohama Marine Tower?",,"N"
"199","N","Hat die neue Battlestar-Galactica-Serie mehr Episoden als die alte?",,"N"
"200","N","Wer ist der j├╝ngste Dartspieler?",,"N"
"201","N","Wer hat das Videospiel World of Warcraft entwickelt?",,"N"
"202","N","Welcher Papst hat das Vatikanische Fernsehen gegr├╝ndet?",,"N"
"203","N","Wer hat die Musik f├╝r Harold und Maude komponiert?",,"N"
"204","WORK","Gib mir alle Bandmitglieder von Prodigy.",,"SELECT ?Answer WHERE { <http://dbpedia.org/resource/The_Prodigy> <http://dbpedia.org/ontology/bandMember> ?Answer .}"
"205","N","Wer spielt alles in spanischen Filmen produziert von Benicio del Toro mit?",,"N"
"206","N","Welche Tochtergesellschaft von TUI Travel fliegt sowohl Glasgow als auch Dublin an?",,"N"
"207","N","In welchem Land liegt Mekka?",,"N"
"208","N","Wieviele Sprachen werden in Kolumbien gesprochen?",,"N"
"209","N","Was ist das gr├Â├ƒte Stadion in Spanien?",,"N"
"210","N","Welche Schauspieler wurden auf den Philippinen geboren?",,"N"
"211","N","Was sind die Stadtteile von Konstitutionelle Monarchie?",,"N"
"212","N","Ist Cola ein Getr├ñnk?",,"N"
"213","N","Wann ist Elisabeth von Sachsen gestorben?",,"N"
"214","N","Wo in Frankreich wird Schaumwein hergestellt?",,"N"
