lemon,partOfSpeech,writtenForm (singular),SyntacticFrame,copulativeSubject,attributiveArg,sense,reference,owl:onProperty,owl:hasValue
academic journal_of,noun,academic journal,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:AcademicJournal
actor_of,noun,actor,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Actor
administrative_region_of,noun,administrative region,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:AdministrativeRegion
adultactor_of,noun,Adult Actor,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:AdultActor
agent_of,noun,agent,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Agent
aircraft_of,noun,Aircraft,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Aircraft
airline_of,noun,airline,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Airline
airport_of,noun,airport,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Airport
album_of,noun,album,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Album
amateurboxer_of,noun,Amateur Boxer,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:AmateurBoxer
ambassador_of,noun,Ambassador,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Ambassador
americanfootballleague_of,noun,American Football League,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:AmericanFootballLeague
american football player_of,noun,american football player,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:AmericanFootballPlayer
amphibian_of,noun,Amphibian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Amphibian
amusementparkattraction_of,noun,Amusement Park Attraction,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:AmusementParkAttraction
anatomicalstructure_of,noun,Anatomical Structure,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:AnatomicalStructure
animal_of,noun,animal,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Animal
anime_of,noun,Anime,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Anime
arachnid_of,noun,Arachnid,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Arachnid
archaea_of,noun,Archaea,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Archaea
archbishop_of,noun,Archbishop,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Archbishop
architect_of,noun,architect,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Architect
architecturalstructure_of,noun,Architectural Structure,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:ArchitecturalStructure
artery_of,noun,Artery,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Artery
article_of,noun,article,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Article
artist_of,noun,artist,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Artist
artistdiscography_of,noun,Artist Discography,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:ArtistDiscography
artwork_of,noun,artwork,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Artwork
astronaut_of,noun,Astronaut,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Astronaut
athlete_of,noun,athlete,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Athlete
australianfootballteam_of,noun,Australian Football Team,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:AustralianFootballTeam
australianrulesfootballplayer_of,noun,Australian Rules Football Player,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:AustralianRulesFootballPlayer
author_of,noun,author,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Author
autobiography_of,noun,autobiography,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Autobiography
automobile_of,noun,Automobile,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Automobile
automobileengine_of,noun,Automobile Engine,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:AutomobileEngine
award_of,noun,award,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Award
bacteria_of,noun,Bacteria,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Bacteria
badmintonplayer_of,noun,Badminton Player,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:BadmintonPlayer
band_of,noun,band,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Band
bank_of,noun,Bank,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Bank
baronet_of,noun,Baronet,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Baronet
baseballleague_of,noun,Baseball League,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:BaseballLeague
baseballplayer_of,noun,Baseball Player,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:BaseballPlayer
baseballseason_of,noun,Baseball Season,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:BaseballSeason
basketballleague_of,noun,Basketball League,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:BasketballLeague
basketball player_of,noun,basketball player,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:BasketballPlayer
basketballteam_of,noun,Basketball Team,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:BasketballTeam
beachvolleyballplayer_of,noun,Beach Volleyball Player,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:BeachVolleyballPlayer
beautyqueen_of,noun,Beauty Queen,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:BeautyQueen
beverage_of,noun,beverage,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Beverage
biologicaldatabase_of,noun,Biological Database,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:BiologicalDatabase
bird_of,noun,Bird,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Bird
river_of,noun,river,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:BodyOfWater
bodybuilder_of,noun,Bodybuilder,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Bodybuilder
bone_of,noun,Bone,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Bone
book_of,noun,book,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Book
boxer_of,noun,Boxer,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Boxer
brain_of,noun,Brain,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Brain
brewery_of,noun,Brewery,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Brewery
bridge_of,noun,Bridge,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Bridge
broadcast network_of,noun,broadcast network,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:BroadcastNetwork
broadcaster_of,noun,broadcaster,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Broadcaster
building_of,noun,Building,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Building
buscompany_of,noun,Bus Company,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:BusCompany
businessperson_of,noun,Business Person,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:BusinessPerson
canadianfootballteam_of,noun,Canadian Football Team,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:CanadianFootballTeam
canal_of,noun,Canal,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Canal
canoeist_of,noun,Canoeist,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Canoeist
cardinal_of,noun,Cardinal,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Cardinal
castle_of,noun,Castle,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Castle
cave_of,noun,Cave,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Cave
cheese_of,noun,Cheese,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Cheese
chef_of,noun,Chef,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Chef
chemicalcompound_of,noun,Chemical Compound,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:ChemicalCompound
chessplayer_of,noun,Chess Player,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:ChessPlayer
christianbishop_of,noun,Christian Bishop,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:ChristianBishop
cinema_of,noun,Cinema,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Cinema
city_of,noun,city,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:City
citydistrict_of,noun,City District,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:CityDistrict
classicalmusicartist_of,noun,Classical Music Artist,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:ClassicalMusicArtist
classicalmusiccomposition_of,noun,Classical Music Composition,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:ClassicalMusicComposition
cleric_of,noun,Cleric,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Cleric
college_of,noun,College,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:College
collegecoach_of,noun,College Coach,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:CollegeCoach
color_of,noun,color,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Color
color_of,noun,color,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Colour
combinationdrug_of,noun,Combination Drug,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:CombinationDrug
comedian_of,noun,Comedian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Comedian
comedygroup_of,noun,Comedy Group,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:ComedyGroup
comic_of,noun,Comic,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Comic
comicstrip_of,noun,Comic Strip,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:ComicStrip
comic character_of,noun,comic character,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:ComicsCharacter
comicscreator_of,noun,Comics Creator,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:ComicsCreator
company_of,noun,company,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Company
concentrationcamp_of,noun,Concentration Camp,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:ConcentrationCamp
congressman_of,noun,Congressman,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Congressman
convention_of,noun,Convention,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Convention
country_of,noun,country,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Country
crater_of,noun,Crater,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Crater
cricketground_of,noun,Cricket Ground,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:CricketGround
cricketteam_of,noun,Cricket Team,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:CricketTeam
cricketer_of,noun,Cricketer,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Cricketer
criminal_of,noun,Criminal,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Criminal
crustacean_of,noun,Crustacean,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Crustacean
cultivatedvariety_of,noun,Cultivated Variety,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:CultivatedVariety
curler_of,noun,Curler,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Curler
currency_of,noun,currency,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Currency
cyclingrace_of,noun,Cycling Race,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:CyclingRace
cyclingteam_of,noun,Cycling Team,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:CyclingTeam
cyclist_of,noun,Cyclist,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Cyclist
dam_of,noun,Dam,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Dam
dartsplayer_of,noun,DartsPlayer,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:DartsPlayer
device_of,noun,Device,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Device
diocese_of,noun,Diocese,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Diocese
disease_of,noun,disease,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Disease
drug_of,noun,Drug,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Drug
earthquake_of,noun,Earthquake,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Earthquake
economist_of,noun,Economist,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Economist
educational institution_of,noun,educational institution,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:EducationalInstitution
election_of,noun,Election,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Election
embryology_of,noun,Embryology,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Embryology
engineer_of,noun,Engineer,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Engineer
entomologist_of,noun,Entomologist,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Entomologist
enzyme_of,noun,Enzyme,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,rdf:type,dbo:Enzyme
