LemonEntry,partOfSpeech,article_singular,writtenForm (singular),spanish_writtenForm (plural),preposition,SyntacticFrame,copulativeArg,prepositionalAdjunct,sense,reference_dbpedia,domain_dbpedia,range_dbpedia,domainSingularArticle,domainWrittenSingularForm,domainWrittenPluralForm,rangeSingularArticle,rangeWrittenSingularForm,rangeWrittenPluralFormIndex
capital,noun,feminine,capital,capitales,de,NounPPFrame,range,domain,1,dbo:capital,dbo:Country,dbo:Place,masculine,pa¡s,pa¡ses,feminine,ciudad,ciudades
alcalde_1,noun,masculine,alcalde,alcaldes,de,NounPPFrame,range,domain,1,dbo:mayor,dbo:City,dbo:Person,feminine,ciudad,ciudades,feminine,persona,personas
alcalde_2,noun,masculine,alcalde,alcaldes,de,NounPPFrame,range,domain,1,dbo:leaderName,dbo:City,dbo:Person,feminine,ciudad,ciudades,feminine,persona,personas
idioma_oficial_1,noun,masculine,idioma oficial,idiomas oficiales,de,NounPPFrame,range,domain,1,dbo:officialLanguage,dbo:Country,dbo:Language,masculine,pa¡s,pa¡ses,masculine,idioma,idiomas
hijo_1,noun,masculine,hijo,hijos,de,NounPPFrame,range,domain,1,dbo:child,dbo:Person,dbo:Person,feminine,persona,personas,feminine,persona,personas
miembro,noun,masculine,miembro,miembros,de,NounPPFrame,range,domain,1,dbo:bandMember,dbo:Band,dbo:Person,feminine,banda,bandas,feminine,persona,personas
mujer,noun,feminine,mujer,mujeres,de,NounPPFrame,range,domain,1,dbo:spouse,dbo:Person,dbo:Person,feminine,persona,personas,feminine,persona,personas
m£sica,noun,feminine,m£sica,musicales,de,NounPPFrame,domain,range,1,dbo:musicBy,dbo:Musical,dbo:Person,masculine,musical,musicales,feminine,persona,personas
sohn,noun,masculine,hijo,hijos,de,NounPPFrame,range,domain,1,dbo:child,dbo:Person,dbo:Person,feminine,persona,personas,feminine,persona,personas
tocher,noun,feminine,hija,hijas,de,NounPPFrame,range,domain,1,dbo:child,dbo:Person,dbo:Person,feminine,persona,personas,feminine,persona,personas
spitzname,noun,masculine,apodo,apodos,de,NounPPFrame,range,domain,1,dbp:nickname,dbo:City,xsd:string,feminine,ciudad,ciudades,-,-,-
gobierno,noun,masculine,forma de gobierno,forma de gobiernos,de,NounPPFrame,range,domain,1,dbo:governmentType,dbo:Country,dbo:GovernmentType,masculine,pa¡s,pa¡ses,masculine,tipo,tipos
desarrollo,noun,masculine,desarrollo,desarrolladores,de,NounPPFrame,range,domain,1,dbo:developer,dbo: Software,dbo:University,masculine,software,software,feminine,universidad,universidades
c¢digo,noun,masculine,c¢digo de  rea,c¢digos de  rea,de,NounPPFrame,range,domain,1,dbo:areaCode,dbo:Place,xsd:string,feminine,Lage,Lagen,-,-,-
vicepresidente_1,noun,masculine,vicepresidente,vicepresidentes,de,NounPPFrame,range,domain,1,dbo:vicePresident,dbo:Person,dbo:Person,feminine,persona,personas,masculine,pa¡s,pa¡ses
vicepresidente_2,noun,masculine,vicepresidente,vicepresidentes,bajo,NounPPFrame,range,domain,1,dbo:vicePresident,dbo:Politician,dbo:Person,masculine,pol¡tico,pol¡ticos,feminine,persona,personas
sucesor,noun,masculine,sucesor,sucesores,de,NounPPFrame,range,domain,1,dbo:successor,dbo:Politician,dbo:Person,masculine,pol¡tico,pol¡ticos,feminine,persona,personas
moneda,noun,feminine,moneda,monedas,de,NounPPFrame,range,domain,1,dbo:currency,dbo:Country,dbo:Currency,masculine,pa¡s,pa¡ses,feminine,moneda,monedas
doctorado,noun,masculine,supervisor de doctorado,supervisores de doctorado,de,NounPPFrame,range,domain,1,dbo:doctoralAdvisor,dbo:Person,dbo:Person,feminine,persona,personas,feminine,persona,personas
Enkel,noun,masculine,nieto,nietos,de,NounPPFrame,range,domain,1,dbo:parent,dbo:Person,dbo:Person,feminine,persona,personas,feminine,persona,personas
ciudad_m s_grande,noun,feminine,ciudad m s grande,ciudades m s grandes,de,NounPPFrame,range,domain,1,dbo:largestCity,dbo:Country,dbo:City,masculine,pa¡s,pa¡ses,feminine,ciudad,ciudades
videojuego,noun,masculine,videojuego,videojuegos,de,NounPPFrame,domain,range,1,dbo:publisher,dbo:VideoGame,dbo:Company,masculine,videojuego,videojuegos,feminine,empresa,empresas
juegos,noun,masculine,juego,juegos,de,NounPPFrame,domain,range,1,dbo:publisher,dbo:VideoGame,dbo:Publisher,masculine,videojuego,videojuegos,masculine,editor,editor
richtiger,noun,masculine,verdadero nombre,verdaderos nombres,de,NounPPFrame,range,domain,1,dbp:alterEgo,dbo:FictionalCharacter,xsd:string,masculine,car cter ficticio,car cteres ficticios,-,-,-
Zeitzone_1,noun,feminine,zona horaria,zonas horarias,de,NounPPFrame,range,domain,1,dbp:timezone,dbo:City,xsd:string,feminine,ciudad,ciudades,-,-,-
Zeitzone_2,noun,feminine,zona horaria,zonas horarias,de,NounPPFrame,range,domain,1,dbo:timeZone,dbo:Town,xsd:string,feminine,ciudad,ciudades,-,-,-
padre_1,noun,masculine,padre,padres,de,NounPPFrame,range,domain,1,dbp:father,dbo:Person,dbo:Person,feminine,persona,personas,feminine,persona,personas
padre_2,noun,masculine,padre,padres,de,NounPPFrame,range,domain,1,dbo:parent,dbo:Person,dbo:Person,feminine,persona,personas,feminine,persona,personas
Partei,noun,masculine,partido,partidos,de,NounPPFrame,range,domain,1,dbo:party,dbo:Politician,xsd:string,masculine,pol¡tico,pol¡ticos,-,-,-
lugar,noun,masculine,lugar de nacimiento,lugares de nacimiento,de,NounPPFrame,range,domain,1,dbo:birthPlace,dbo:Person,dbo:Place,feminine,persona,personas,masculine,lugar,lugares
deathPlace,noun,masculine,lugar de fallecimiento,lugares de fallecimiento,de,NounPPFrame,range,domain,1,dbo:deathPlace,dbo:Person,xsd:string,feminine,persona,personas,-,-,-
poplaci¢n_total_de,noun,feminine,poplaci¢n total,poblaciones totales,de,NounPPFrame,range,domain,1,dbo:populationTotal,dbo:Location,xsd:double,feminine,ubicacion,ubicaciones,-,-,-
editor_de,noun,masculine,editor,editores,de,NounPPFrame,range,domain,1,dbo:editor,dbo:WrittenWork,masculine,trabajo escrito,trabajos escritos,dbo:Person,feminine,persona,personas
pr„sident_von,noun,masculine,presidente,presidentes,de,NounPPFrame,range,domain,1,dbo:leader,dbo:Legislature,dbo:Person,masculine,legislador,legisladores,feminine,persona,personas
forma_de_gobierno,noun,masculine,forma de gobierno,forma de gobiernos,de,NounPPFrame,range,domain,,dbo:governmentType,dbo:Country,dbo:GovernmentType,masculine,pa¡s,pa¡ses,masculine,tipo,tipos
condados_de,noun,masculine,condados,condados,de,NounPPFrame,domain,range,1,dbo:governmentType,dbo:Country,dbo:Country,masculine,pa¡s,pa¡ses,masculine,tipo,tipos
necesarios_para,noun,masculine,necesarios,necesarios,para,NounPPFrame,range,domain,1,dbo:ingredient,dbo:Food,xsd:string,masculine,ingredientes,ingredientes,-,-,-
libros_en,noun,masculine,libro,libros,en,NounPPFrame,domain,range,1,dbo:series,dbo:WrittenWork,dbo:TelevisionShow,masculine,Trabajo escrito,Trabajo escrito,feminine,serie televisiva,series televisivas
fundador_de,noun,masculine,fundador,fundador,de,NounPPFrame,range,domain,1,dbo:founder,dbo:Publisher,dbo:Person,masculine,editor,editor,feminine,persona,personas
anfitri¢n_de,noun,feminine,anfitri¢n,anfitri¢n,de,NounPPFrame,range,domain,1,dbo:presenter,dbo:TelevisionShow,dbo:Person,feminine,serie televisiva,series televisivas,feminine,persona,personas
especiales_de,noun,,especiales,especiales,de,NounPPFrame,range,domain,1,dbo:presenter,dbo:TelevisionShow,dbo:Person,feminine,serie televisiva,series televisivas,feminine,persona,personas
