LemonEntry,partOfSpeech,writtenFormInfinitive/2ndPerson,writtenForm3rdPerson,writtenFormPast,writtenFormPerfect,SyntacticFrame,subject,directObject,sense,reference,domain,range,passivePreposition,,,,,,
desarrollar_1,verb,desarrollar,desarrolla,desarrolló,desarrollado,TransitiveFrame,domain,range,1,dbo:product,dbo:Company,dbo:Software,por,,,,,,
exhibit,verb,exhibit,exhibe,exhibió,exhibido,TransitiveFrame,range,domain,1,dbo:museum,dbo:Artwork,dbo: Museum,por,,,,,,
descubrir,verb,descubrir,descubre,descubrió,descubierto,TransitiveFrame,range,domain,1,dbo:discoverer,dbo:Planet,dbo:Person,por,,,,,,
cruzar,verb,cruzar,cruza,cruzó,cruzado,TransitiveFrame,range,domain,1,dbo:crosses,dbo:Bridge,dbo:River,por,,,,,,
ganar,verb,ganar,gana,ganó,ganado,TransitiveFrame,range,domain,1,dbo:award,dbo:Scientist,dbo:Award,por,,,,,,
crear_1,verb,crear,crea,creó,creado,TransitiveFrame,range,domain,1,dbo:creator,dbo:TelevisionShow,dbo:Agent,por,,,,,,
crear_2,verb,ideó,ideó,ideó,ideó,TransitiveFrame,range,domain,1,dbo:creator,dbo:TelevisionShow,dbo:Person,por,,,,,,
crear_3,verb,crear,crea,creó,creado,TransitiveFrame,range,domain,1,dbo:author,dbo:Website,dbo:Agent,por,,,,,,
actuado,verb,actuado,actuado,actuado,actuado,TransitiveFrame,range,domain,5,dbo:starring,dbo:Film,dbo:Person,por,,,,,,
operate_1,verb,operar,opera,operó,operado,TransitiveFrame,range,domain,1,dbo:operator,dbo:LaunchPad,dbo:Organisation,por,,,,,,
play_1,verb,interpreto,interpreto,interpreto,interpreto,TransitiveFrame,range,domain,1,dbo:portrayer,dbo:FictionalCharacter,dbo:Person,por,,,,,,
Play_2,verb,actuar,actúa,actúo,actuado,TransitiveFrame,range,domain,1,dbo:portrayer,dbo:FictionalCharacter,dbo:Person,por,,,,,,
publicar,verb,publicar,publica,publicó,publicado,TransitiveFrame,range,domain,1,dbo:publisher,dbo:Book,dbo:Agent,por,,,,,,
dirigir,verb,dirigir,dirige,dirigió,dirigido,TransitiveFrame,range,domain,1,dbo:director,dbo:Film,dbo:Person,por,,,,,,
atender,verb,atender,atiende,atendió,atendido,TransitiveFrame,range,domain,1,dbo:targetAirport,dbo:Airline,dbo:Airport,por,,,,,,
diseñar,verb,diseñar,diseña,diseñó,diseñado,TransitiveFrame,range,domain,1,dbo:architect,dbo:ArchitecturalStructure,dbo:Architect,por,,,,,,
expresar,verb,expresar,expresa,expresó,expresado,TransitiveFrame,range,domain,1,dbo:connotation,dbo:Colour,owl:Thing,por,,,,,,
desarrollar,verb,desarrollar,desarrolla,desarrolló,desarrollado,TransitiveFrame,range,domain,1,dbo:developer,dbo:VideoGame,dbo:Agent,por,,,,,,
expresar,verb,expresar,expresa,expresó,expresado,TransitiveFrame,range,domain,1,dbo:connotation,dbo:Colour,owl:Thing,por,,,,,,
Casarse_1,verb,casarse,casa,casa,Casado,TransitiveFrame,range,domain,1,dbo:spouse,dbo:Person,dbo:Person,por,,,,,,
Casarse_2,verb,casarse-con,casa-con,casa-con,Casado-con,TransitiveFrame,range,domain,1,dbo:spouse,dbo:Person,dbo:Person,por,,,,,,
moderar,verb,moderar,modera,moderó,moderado,TransitiveFrame,range,domain,1,dbo:presenter,dbo:TelevisionShow,dbo:Person,por,,,,,,
escribir_1,verb,escribir,escribe,escribió,escrito,TransitiveFrame,range,domain,1,dbo:writer,dbo:Song,dbo:Person,por,,,,,,
escribir_2,verb,escribir,escribe,escribió,escrito,TransitiveFrame,range,domain,1,dbo:composer,dbo:TelevisionShow,dbo:Person,por,rdfs laels of spanish is english and thats why it does not match (158),,,,,
escribir_3,verb,escribir,escribe,escribió,escrito,TransitiveFrame,range,domain,1,dbo:author,dbo:Book,dbo:Person,por,,,,,,
compuso,verb,compuso la banda sonora,compuso la banda sonora,compuso la banda sonora,compuso la banda sonora,TransitiveFrame,range,domain,1,dbo:musicComposer,dbo:Film,dbo:Person,von,,,,,,
fundar_1,verb,fundar,funda,fundó,fundado,TransitiveFrame,range,domain,1,dbo:foundedBy,dbo:Agent,dbo:Pope,por,,,,,,
descubrir,verb,descubrir,descubre,descubrió,descubierto,TransitiveFrame,range,domain,1,dbo:discoverer,dbo:CelestialBody,dbo:Person,por,,,,,,
influenciar,verb,influenciar,influencia,influenció,influenciado,TransitiveFrame,range,domain,1,dbo:influencedBy,dbo:Person,dbo:Person,por,,,,,,
inspirar_1,verb,inspirar,inspira,inspiró,inspirado,TransitiveFrame,domain,range,1,dbo:influenced,dbo:Artist,dbo:Artist,por,,,,,,
inspirar_2,verb,inspirar,inspira,inspiró,inspirado,TransitiveFrame,domain,range,1,dbo:influenced,dbo:Person,dbo:Person,por,,,,,,
diseñar_1,verb,diseñar,diseña,diseñó,diseñado,TransitiveFrame,range,domain,1,dbo:architect,dbo:Bridge,dbo:Person,por,,,,,,
diseñar_2,verb,diseñar,diseña,diseñó,diseñado,TransitiveFrame,range,domain,1,dbo:creator,dbo:TelevisionShow,dbo:Agent,por,,,,,,
diseñar_3,verb,diseñar,diseña,diseñó,diseñado,TransitiveFrame,range,domain,1,dbo:author,dbo:Website,dbo:Person,por,,,,,,
hablar,verb,hablar,habla,habló,hablado,TransitiveFrame,range,domain,1,dbo:language,dbo:Language,dbo:Country,por,,,,,,
paint,verb,pintar,pinta,pintó,pintado,TransitiveFrame,range,domain,1,dbp:artist,dbo:Work,dbo:Person,por,,,,,,
primero_en_ascender_al,verb,primero-en-ascender-al,primero-en-asciende-al,primero-en-asendió-al,primero-en-ascendido-al,TransitiveFrame,range,domain,1,dbo:firstAscentPerson,dbo:Mountain,feminine,por,,,,,,
contiene,verb,contiene,contiene,contiene,contiene,TransitiveFrame,domain,range,1,dbo:ingredient,dbo:Food,owl:Thing,por,,,,,,
participate_in_2,verb,participar,participa,participó,participado,TransitiveFrame,range,domain,1,dbo:battle,dbo:Person,dbo:MilitaryConflict,por,,,,,,
cuesta,verb,costar,cuesta,costó,costado,TransitiveFrame,range,domain,1,dbo:budget,dbo:Film,xsd:double,por,,,,,-,-
actuó,verb,actuó-como,actuó-como,actuó-como,actuó-como,TransitiveFrame,range,domain,1,dbp:portrayer,dbo:FictionalCharacter,dbo:Person,por,,,,,,
producen,verb,producen,producen,producen,desarrollado,TransitiveFrame,domain,range,1,dbo:product,dbo:Company,dbo:Ship,por,,,,,,
live_1,verb,vivir,vive,vivió,vivido,TransitiveFrame,range,domain,1,dbo:ethnicGroup,dbo:EthnicGroup,dbo:Country,por,,,,,,
cost,verb,costar,cuesta,costó,costado,TransitiveFrame,range,domain,1,dbo:budget,dbo:Film,xsd:double,por,,,,,,
call_1,verb,llamarse,se_llama,llamó,llamado,TransitiveFrame,range,domain,1,dbp:nickname,dbo:Person,xsd:String,por,,,,,,
inspire,verb,inspirar,inspira,inspiró,inspirado,TransitiveFrame,range,domain,1,dbo:influenced,dbo:Person,dbo:Person,por,,,,,,
produce,verb,producir,produce,produjo,producido,TransitiveFrame,range,domain,1,dbo:product,dbo:Ship,dbo:Company,por,,,,,,
publisher,verb,publicar,publica,publicó,publicado,TransitiveFrame,range,domain,1,dbo:publisher,dbo:Work,dbo:Person,por,,,,,,
win,verb,obtener,obtiene,obtuvo,obtenido,TransitiveFrame,range,domain,1,dbo:award,dbo:Scientist,dbo:Award,por,,,,,,
cost,verb,costar,cuesta,costó,costado,TransitiveFrame,range,domain,1,dbo:budget,dbo:Film,xsd:double,por,,,,,,
create,verb,inventar,inventa,inventó,inventado,TransitiveFrame,range,domain,1,dbo:creator,dbo:TelevisionShow,dbo:Person,por,,,,,,
attend,verb,visitar,visita,visitó,visitado,TransitiveFrame,range,domain,1,dbo:almaMater,dbo:Person,dbo:University,por,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
participate_in_2,verb,participar,participa,participó,participado,TransitiveFrame,range,domain,1,dbo:battle,dbo:MilitaryPerson,dbo:MilitaryConflict,en,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
entspringen,veb,entspringen,entspringt,entsprang,entsprungen,in,IntransitivePPFrame,domain,range,1,dbp:mouthLocation,dbo:River,Länder,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
123 wrong translation,,,,,,,,,,,,,,,,,,,