"1","Academic Person","Academic Persons","dbo:Academic"
"2","academic conference","academic conferences","dbo:AcademicConference"
"3","academic journal","academic journals","dbo:AcademicJournal"
"4","activity","activitys","dbo:Activity"
"5","actor","actors","dbo:Actor"
"6","administrative region","administrative regions","dbo:AdministrativeRegion"
"7","adult (pornographic) actor","adult (pornographic) actors","dbo:AdultActor"
"8","agent","agents","dbo:Agent"
"9","aircraft","aircrafts","dbo:Aircraft"
"10","airline","airlines","dbo:Airline"
"11","airport","airports","dbo:Airport"
"12","album","albums","dbo:Album"
"13","amateur boxer","amateur boxers","dbo:AmateurBoxer"
"14","ambassador","ambassadors","dbo:Ambassador"
"15","american football coach","american football coachs","dbo:AmericanFootballCoach"
"16","american football league","american football leagues","dbo:AmericanFootballLeague"
"17","american football player","american football players","dbo:AmericanFootballPlayer"
"18","american football Team","american football Teams","dbo:AmericanFootballTeam"
"19","American Leader","American Leaders","dbo:AmericanLeader"
"20","amphibian","amphibians","dbo:Amphibian"
"21","amusement park attraction","amusement park attractions","dbo:AmusementParkAttraction"
"22","anatomical structure","anatomical structures","dbo:AnatomicalStructure"
"23","animal","animals","dbo:Animal"
"24","animanga character","animanga characters","dbo:AnimangaCharacter"
"25","Anime","Animes","dbo:Anime"
"26","arachnid","arachnids","dbo:Arachnid"
"27","archaea","archaeas","dbo:Archaea"
"28","archbishop","archbishops","dbo:Archbishop"
"29","architect","architects","dbo:Architect"
"30","architectural structure","architectural structures","dbo:ArchitecturalStructure"
"31","artery","arterys","dbo:Artery"
"32","ArtificialSatellite","ArtificialSatellites","dbo:ArtificialSatellite"
"33","artist","artists","dbo:Artist"
"34","artist discography","artist discographys","dbo:ArtistDiscography"
"35","artwork","artworks","dbo:Artwork"
"36","asteroid","asteroids","dbo:Asteroid"
"37","astronaut","astronauts","dbo:Astronaut"
"38","athlete","athletes","dbo:Athlete"
"39","australian football league","australian football leagues","dbo:AustralianFootballLeague"
"40","australian football Team","australian football Teams","dbo:AustralianFootballTeam"
"41","Australian rules football player","Australian rules football players","dbo:AustralianRulesFootballPlayer"
"42","automobile","automobiles","dbo:Automobile"
"43","automobile engine","automobile engines","dbo:AutomobileEngine"
"44","auto racing league","auto racing leagues","dbo:AutoRacingLeague"
"45","award","awards","dbo:Award"
"46","bacteria","bacterias","dbo:Bacteria"
"47","badminton player","badminton players","dbo:BadmintonPlayer"
"48","Band","Bands","dbo:Band"
"49","bank","banks","dbo:Bank"
"50","baronet","baronets","dbo:Baronet"
"51","baseball league","baseball leagues","dbo:BaseballLeague"
"52","baseball player","baseball players","dbo:BaseballPlayer"
"53","baseball season","baseball seasons","dbo:BaseballSeason"
"54","baseball team","baseball teams","dbo:BaseballTeam"
"55","basketball league","basketball leagues","dbo:BasketballLeague"
"56","basketball player","basketball players","dbo:BasketballPlayer"
"57","basketball team","basketball teams","dbo:BasketballTeam"
"58","battery","batterys","dbo:Battery"
"59","bay","bays","dbo:Bay"
"60","beach volleyball player","beach volleyball players","dbo:BeachVolleyballPlayer"
"61","beauty queen","beauty queens","dbo:BeautyQueen"
"62","beverage","beverages","dbo:Beverage"
"63","Biological database","Biological databases","dbo:BiologicalDatabase"
"64","Biomolecule","Biomolecules","dbo:Biomolecule"
"65","bird","birds","dbo:Bird"
"66","bodybuilder","bodybuilders","dbo:Bodybuilder"
"67","body of water","body of waters","dbo:BodyOfWater"
"68","bone","bones","dbo:Bone"
"69","book","books","dbo:Book"
"70","bowling league","bowling leagues","dbo:BowlingLeague"
"71","boxer","boxers","dbo:Boxer"
"72","boxing league","boxing leagues","dbo:BoxingLeague"
"73","brain","brains","dbo:Brain"
"74","brewery","brewerys","dbo:Brewery"
"75","bridge","bridges","dbo:Bridge"
"76","British royalty","British royaltys","dbo:BritishRoyalty"
"77","broadcaster","broadcasters","dbo:Broadcaster"
"78","broadcast network","broadcast networks","dbo:BroadcastNetwork"
"79","building","buildings","dbo:building"
"80","bus company","bus companys","dbo:BusCompany"
"81","businessperson","businesspersons","dbo:BusinessPerson"
"82","liga de fútbol canadiense","liga de fútbol canadienses","dbo:CanadianFootballLeague"
"83","canadian football Player","canadian football Players","dbo:CanadianFootballPlayer"
"84","canal","canals","dbo:Canal"
"85","canoeist","canoeists","dbo:Canoeist"
"86","cardinal","cardinals","dbo:Cardinal"
"87","career station","career stations","dbo:CareerStation"
"88","cartoon","cartoons","dbo:Cartoon"
"89","case","cases","dbo:Case"
"90","castle","castles","dbo:Castle"
"91","cave","caves","dbo:Cave"
"92","celestial body","celestial bodys","dbo:CelestialBody"
"93","chancellor","chancellors","dbo:Chancellor"
"94","cheese","cheeses","dbo:Cheese"
"95","chef","chefs","dbo:Chef"
"96","chemical compound","chemical compounds","dbo:ChemicalCompound"
"97","chemical substance","chemical substances","dbo:ChemicalSubstance"
"98","chess player","chess players","dbo:ChessPlayer"
"99","Christian Bishop","Christian Bishops","dbo:ChristianBishop"
"100","Christian Patriarch","Christian Patriarchs","dbo:ChristianPatriarch"
"101","cinema (movie theater)","cinema (movie theater)s","dbo:Cinema"
"102","city","citys","dbo:City"
"103","city district","city districts","dbo:CityDistrict"
"104","classical music artist","classical music artists","dbo:ClassicalMusicArtist"
"105","classical music composition","classical music compositions","dbo:ClassicalMusicComposition"
"106","cleric","clerics","dbo:Cleric"
"107","clerical administrative region","clerical administrative regions","dbo:ClericalAdministrativeRegion"
"108","club moss","club mosss","dbo:ClubMoss"
"109","coach","coachs","dbo:Coach"
"110","college","colleges","dbo:College"
"111","college coach","college coachs","dbo:CollegeCoach"
"112","colour","colours","dbo:Colour"
"113","combination drug","combination drugs","dbo:CombinationDrug"
"114","comedian","comedians","dbo:Comedian"
"115","Comedy Group","Comedy Groups","dbo:ComedyGroup"
"116","comic","comics","dbo:Comic"
"117","comics character","comics characters","dbo:ComicsCharacter"
"118","comics creator","comics creators","dbo:ComicsCreator"
"119","comic strip","comic strips","dbo:ComicStrip"
"120","company","companys","dbo:Company"
"121","Concentration camp","Concentration camps","dbo:ConcentrationCamp"
"122","congressman","congressmans","dbo:Congressman"
"123","conifer","conifers","dbo:Conifer"
"124","constellation","constellations","dbo:Constellation"
"125","continent","continents","dbo:Continent"
"126","convention","conventions","dbo:Convention"
"127","country","countrys","dbo:Country"
"128","crater","craters","dbo:Crater"
"129","cricketer","cricketers","dbo:Cricketer"
"130","cricket ground","cricket grounds","dbo:CricketGround"
"131","cricket league","cricket leagues","dbo:CricketLeague"
"132","cricket team","cricket teams","dbo:CricketTeam"
"133","criminal","criminals","dbo:Criminal"
"134","crustacean","crustaceans","dbo:Crustacean"
"135","cultivar (cultivated variety)","cultivar (cultivated variety)s","dbo:CultivatedVariety"
"136","curler","curlers","dbo:Curler"
"137","curling league","curling leagues","dbo:CurlingLeague"
"138","currency","currencys","dbo:Currency"
"139","cycad","cycads","dbo:Cycad"
"140","cycling race","cycling races","dbo:CyclingRace"
"141","cycling team","cycling teams","dbo:CyclingTeam"
"142","cyclist","cyclists","dbo:Cyclist"
"143","dam","dams","dbo:Dam"
"144","dancer","dancers","dbo:Dancer"
"145","darts player","darts players","dbo:DartsPlayer"
"146","Database","Databases","dbo:Database"
"147","deity","deitys","dbo:Deity"
"148","device","devices","dbo:Device"
"149","diocese","dioceses","dbo:Diocese"
"150","disease","diseases","dbo:Disease"
"151","document","documents","dbo:Document"
"152","drug","drugs","dbo:Drug"
"153","earthquake","earthquakes","dbo:Earthquake"
"154","economist","economists","dbo:Economist"
"155","educational institution","educational institutions","dbo:EducationalInstitution"
"156","Election","Elections","dbo:Election"
"157","embryology","embryologys","dbo:Embryology"
"158","engine","engines","dbo:Engine"
"159","engineer","engineers","dbo:Engineer"
"160","entomologist","entomologists","dbo:Entomologist"
"161","enzyme","enzymes","dbo:Enzyme"
"162","ethnic group","ethnic groups","dbo:EthnicGroup"
"163","eukaryote","eukaryotes","dbo:Eukaryote"
"164","Eurovision song contest entry","Eurovision song contest entrys","dbo:EurovisionSongContestEntry"
"165","event","events","dbo:Event"
"166","fashion","fashions","dbo:Fashion"
"167","fashion designer","fashion designers","dbo:FashionDesigner"
"168","fern","ferns","dbo:Fern"
"169","fictional character","fictional characters","dbo:FictionalCharacter"
"170","field hockey league","field hockey leagues","dbo:FieldHockeyLeague"
"171","figure skater","figure skaters","dbo:FigureSkater"
"172","movie","movies","dbo:Film"
"173","film festival","film festivals","dbo:FilmFestival"
"174","fish","fishs","dbo:Fish"
"175","flowering plant","flowering plants","dbo:FloweringPlant"
"176","Food","Foods","dbo:Food"
"177","football league season","football league seasons","dbo:FootballLeagueSeason"
"178","football match","football matchs","dbo:FootballMatch"
"179","one-time municipality","one-time municipalitys","dbo:FormerMunicipality"
"180","Formula One racer","Formula One racers","dbo:FormulaOneRacer"
"181","formula 1 team","formula 1 teams","dbo:FormulaOneTeam"
"182","پھُپھُوندی","پھُپھُوندیs","dbo:Fungus"
"183","Gaelic games player","Gaelic games players","dbo:GaelicGamesPlayer"
"184","galaxy","galaxys","dbo:Galaxy"
"185","game","games","dbo:Game"
"186","garden","gardens","dbo:Garden"
"187","gene","genes","dbo:Gene"
"188","genre","genres","dbo:Genre"
"189","ginkgo","ginkgos","dbo:Ginkgo"
"190","given name","given names","dbo:GivenName"
"191","glacier","glaciers","dbo:Glacier"
"192","Gnetophytes","Gnetophytess","dbo:Gnetophytes"
"193","golf course","golf courses","dbo:GolfCourse"
"194","golf league","golf leagues","dbo:GolfLeague"
"195","golf player","golf players","dbo:GolfPlayer"
"196","golf tournament","golf tournaments","dbo:GolfTournament"
"197","government agency","government agencys","dbo:GovernmentAgency"
"198","governmental administrative region","governmental administrative regions","dbo:GovernmentalAdministrativeRegion"
"199","governor","governors","dbo:Governor"
"200","Grand Prix","Grand Prixs","dbo:GrandPrix"
"201","grape","grapes","dbo:Grape"
"202","gridiron football player","gridiron football players","dbo:GridironFootballPlayer"
"203","group","groups","dbo:Group"
"204","guitarist","guitarists","dbo:Guitarist"
"205","gymnast","gymnasts","dbo:Gymnast"
"206","handball league","handball leagues","dbo:HandballLeague"
"207","handball player","handball players","dbo:HandballPlayer"
"208","handball team","handball teams","dbo:HandballTeam"
"209","historian","historians","dbo:Historian"
"210","historical event","historical events","dbo:HistoricalEvent"
"211","historic building","historic buildings","dbo:HistoricBuilding"
"212","historic place","historic places","dbo:HistoricPlace"
"213","hockey team","hockey teams","dbo:HockeyTeam"
"214","holiday","holidays","dbo:Holiday"
"215","hollywood cartoon","hollywood cartoons","dbo:HollywoodCartoon"
"216","horse","horses","dbo:Horse"
"217","horse race","horse races","dbo:HorseRace"
"218","horse rider","horse riders","dbo:HorseRider"
"219","horse trainer","horse trainers","dbo:HorseTrainer"
"220","hospital","hospitals","dbo:Hospital"
"221","hotel","hotels","dbo:Hotel"
"222","HumanGene","HumanGenes","dbo:HumanGene"
"223","HumanGeneLocation","HumanGeneLocations","dbo:HumanGeneLocation"
"224","ice hockey league","ice hockey leagues","dbo:IceHockeyLeague"
"225","ice hockey player","ice hockey players","dbo:IceHockeyPlayer"
"226","identifier","identifiers","dbo:Identifier"
"227","information appliance","information appliances","dbo:InformationAppliance"
"228","infrastructure","infrastructures","dbo:Infrastructure"
"229","inline hockey league","inline hockey leagues","dbo:InlineHockeyLeague"
"230","insect","insects","dbo:Insect"
"231","instrumentalist","instrumentalists","dbo:Instrumentalist"
"232","island","islands","dbo:Island"
"233","JewishLeader","JewishLeaders","dbo:JewishLeader"
"234","jockey (horse racer)","jockey (horse racer)s","dbo:Jockey"
"235","journalist","journalists","dbo:Journalist"
"236","judge","judges","dbo:Judge"
"237","lacrosse league","lacrosse leagues","dbo:LacrosseLeague"
"238","lacrosse player","lacrosse players","dbo:LacrossePlayer"
"239","lake","lakes","dbo:Lake"
"240","language","languages","dbo:Language"
"241","Latter Day Saint","Latter Day Saints","dbo:LatterDaySaint"
"242","launch pad","launch pads","dbo:LaunchPad"
"243","law firm","law firms","dbo:LawFirm"
"244","Legal Case","Legal Cases","dbo:LegalCase"
"245","legislature","legislatures","dbo:Legislature"
"246","library","librarys","dbo:Library"
"247","ligament","ligaments","dbo:Ligament"
"248","lighthouse","lighthouses","dbo:Lighthouse"
"249","locomotive","locomotives","dbo:Locomotive"
"250","lymph","lymphs","dbo:Lymph"
"251","magazine","magazines","dbo:Magazine"
"252","mammal","mammals","dbo:Mammal"
"253","manga","mangas","dbo:Manga"
"254","martial artist","martial artists","dbo:MartialArtist"
"255","mayor","mayors","dbo:Mayor"
"256","mean of transportation","mean of transportations","dbo:MeanOfTransportation"
"257","medical specialty","medical specialtys","dbo:MedicalSpecialty"
"258","medician","medicians","dbo:Medician"
"259","member of parliament","member of parliaments","dbo:MemberOfParliament"
"260","military conflict","military conflicts","dbo:MilitaryConflict"
"261","military person","military persons","dbo:MilitaryPerson"
"262","military service","military services","dbo:MilitaryService"
"263","military structure","military structures","dbo:MilitaryStructure"
"264","military unit","military units","dbo:MilitaryUnit"
"265","mineral","minerals","dbo:Mineral"
"266","mixed martial arts event","mixed martial arts events","dbo:MixedMartialArtsEvent"
"267","mixed martial arts league","mixed martial arts leagues","dbo:MixedMartialArtsLeague"
"268","model","models","dbo:Model"
"269","mollusca","molluscas","dbo:Mollusca"
"270","monarch","monarchs","dbo:Monarch"
"271","monoclonal antibody","monoclonal antibodys","dbo:MonoclonalAntibody"
"272","monument","monuments","dbo:Monument"
"273","moss","mosss","dbo:Moss"
"274","motorcycle","motorcycles","dbo:Motorcycle"
"275","motorcycle racing league","motorcycle racing leagues","dbo:MotorcycleRacingLeague"
"276","motorcycle rider","motorcycle riders","dbo:MotorcycleRider"
"277","motorsport racer","motorsport racers","dbo:MotorsportRacer"
"278","motorsport season","motorsport seasons","dbo:MotorsportSeason"
"279","mountain","mountains","dbo:Mountain"
"280","mountain pass","mountain passs","dbo:MountainPass"
"281","mountain range","mountain ranges","dbo:MountainRange"
"282","MouseGene","MouseGenes","dbo:MouseGene"
"283","municipality","municipalitys","dbo:Municipality"
"284","muscle","muscles","dbo:Muscle"
"285","museum","museums","dbo:Museum"
"286","musical","musicals","dbo:Musical"
"287","musical artist","musical artists","dbo:MusicalArtist"
"288","musical work","musical works","dbo:MusicalWork"
"289","music festival","music festivals","dbo:MusicFestival"
"290","music genre","music genres","dbo:MusicGenre"
"291","mythological figure","mythological figures","dbo:MythologicalFigure"
"292","name","names","dbo:Name"
"293","nascar driver","nascar drivers","dbo:NascarDriver"
"294","national collegiate athletic association athlete","national collegiate athletic association athletes","dbo:NationalCollegiateAthleticAssociationAthlete"
"295","national football league event","national football league events","dbo:NationalFootballLeagueEvent"
"296","national football league season","national football league seasons","dbo:NationalFootballLeagueSeason"
"297","natural event","natural events","dbo:NaturalEvent"
"298","natural place","natural places","dbo:NaturalPlace"
"299","national collegiate athletic association team season","national collegiate athletic association team seasons","dbo:NCAATeamSeason"
"300","nerve","nerves","dbo:Nerve"
"301","netball player","netball players","dbo:NetballPlayer"
"302","newspaper","newspapers","dbo:Newspaper"
"303","noble","nobles","dbo:Noble"
"304","novel","novels","dbo:Novel"
"305","office holder","office holders","dbo:OfficeHolder"
"306","olympic event","olympic events","dbo:OlympicEvent"
"307","olympic result","olympic results","dbo:OlympicResult"
"308","olympics","olympicss","dbo:Olympics"
"309","organisation","organisations","dbo:Organisation"
"310","Organisation member","Organisation members","dbo:OrganisationMember"
"311","Outbreak","Outbreaks","dbo:Outbreak"
"312","painter","painters","dbo:Painter"
"313","Pandemic","Pandemics","dbo:Pandemic"
"314","park","parks","dbo:Park"
"315","periodical literature","periodical literatures","dbo:PeriodicalLiterature"
"316","person","persons","dbo:Person"
"316","people","peoples","dbo:Person"
"317","person function","person functions","dbo:PersonFunction"
"318","Pharaoh","Pharaohs","dbo:Pharaoh"
"319","philosopher","philosophers","dbo:Philosopher"
"320","photographer","photographers","dbo:Photographer"
"321","Pilot","Pilots","dbo:Pilot"
"322","place","places","dbo:Place"
"323","planet","planets","dbo:Planet"
"324","plant","plants","dbo:Plant"
"325","play","plays","dbo:Play"
"326","Playboy Playmate","Playboy Playmates","dbo:PlayboyPlaymate"
"327","poem","poems","dbo:Poem"
"328","poet","poets","dbo:Poet"
"329","poker player","poker players","dbo:PokerPlayer"
"330","Police Officer","Police Officers","dbo:PoliceOfficer"
"331","political function","political functions","dbo:PoliticalFunction"
"332","political party","political partys","dbo:PoliticalParty"
"333","politician","politicians","dbo:Politician"
"334","polo league","polo leagues","dbo:PoloLeague"
"335","pope","popes","dbo:Pope"
"336","populated place","populated places","dbo:PopulatedPlace"
"337","power station","power stations","dbo:PowerStation"
"338","presenter","presenters","dbo:Presenter"
"339","president","presidents","dbo:President"
"340","Pretender","Pretenders","dbo:Pretender"
"341","priest","priests","dbo:Priest"
"342","prime minister","prime ministers","dbo:PrimeMinister"
"343","prison","prisons","dbo:Prison"
"344","programming language","programming languages","dbo:ProgrammingLanguage"
"345","project","projects","dbo:Project"
"346","protected area","protected areas","dbo:ProtectedArea"
"347","protein","proteins","dbo:Protein"
"348","public transit system","public transit systems","dbo:PublicTransitSystem"
"349","publisher","publishers","dbo:Publisher"
"350","race","races","dbo:Race"
"351","racecourse","racecourses","dbo:Racecourse"
"352","race track","race tracks","dbo:RaceTrack"
"353","racing driver","racing drivers","dbo:RacingDriver"
"354","radio host","radio hosts","dbo:RadioHost"
"355","radio program","radio programs","dbo:RadioProgram"
"356","radio station","radio stations","dbo:RadioStation"
"357","railway line","railway lines","dbo:RailwayLine"
"358","train station","train stations","dbo:RailwayStation"
"359","railway tunnel","railway tunnels","dbo:RailwayTunnel"
"360","Rebbe","Rebbes","dbo:Rebbe"
"361","record label","record labels","dbo:RecordLabel"
"362","region","regions","dbo:Region"
"363","religious","religiouss","dbo:Religious"
"364","religious building","religious buildings","dbo:ReligiousBuilding"
"365","reptile","reptiles","dbo:Reptile"
"366","research project","research projects","dbo:ResearchProject"
"367","restaurant","restaurants","dbo:Restaurant"
"368","river","rivers","dbo:River"
"369","road","roads","dbo:Road"
"370","road junction","road junctions","dbo:RoadJunction"
"371","road tunnel","road tunnels","dbo:RoadTunnel"
"372","rocket","rockets","dbo:Rocket"
"373","roller coaster","roller coasters","dbo:RollerCoaster"
"374","route of transportation","route of transportations","dbo:RouteOfTransportation"
"375","rower","rowers","dbo:Rower"
"376","royalty","royaltys","dbo:Royalty"
"377","rugby club","rugby clubs","dbo:RugbyClub"
"378","rugby league","rugby leagues","dbo:RugbyLeague"
"379","rugby player","rugby players","dbo:RugbyPlayer"
"380","Sailor","Sailors","dbo:Sailor"
"381","saint","saints","dbo:Saint"
"382","sales","saless","dbo:Sales"
"383","school","schools","dbo:School"
"384","scientist","scientists","dbo:Scientist"
"385","screenwriter","screenwriters","dbo:ScreenWriter"
"386","sea","seas","dbo:Sea"
"387","senator","senators","dbo:Senator"
"388","settlement","settlements","dbo:Settlement"
"389","ship","ships","dbo:Ship"
"390","shopping mall","shopping malls","dbo:ShoppingMall"
"391","single","singles","dbo:Single"
"392","Site of Special Scientific Interest","Site of Special Scientific Interests","dbo:SiteOfSpecialScientificInterest"
"393","skater","skaters","dbo:Skater"
"394","ski area","ski areas","dbo:SkiArea"
"395","skier","skiers","dbo:Skier"
"396","skyscraper","skyscrapers","dbo:Skyscraper"
"397","snooker world champion","snooker world champions","dbo:SnookerChamp"
"398","snooker player","snooker players","dbo:SnookerPlayer"
"399","snooker world ranking","snooker world rankings","dbo:SnookerWorldRanking"
"400","soap character","soap characters","dbo:SoapCharacter"
"401","soccer club","soccer clubs","dbo:SoccerClub"
"402","soccer club season","soccer club seasons","dbo:SoccerClubSeason"
"403","soccer league","soccer leagues","dbo:SoccerLeague"
"404","soccer manager","soccer managers","dbo:SoccerManager"
"405","soccer player","soccer players","dbo:SoccerPlayer"
"406","soccer tournoment","soccer tournoments","dbo:SoccerTournament"
"407","societal event","societal events","dbo:SocietalEvent"
"408","softball league","softball leagues","dbo:SoftballLeague"
"409","software","softwares","dbo:Software"
"410","solar eclipse","solar eclipses","dbo:SolarEclipse"
"411","song","songs","dbo:Song"
"412","sound","sounds","dbo:Sound"
"413","space mission","space missions","dbo:SpaceMission"
"414","space shuttle","space shuttles","dbo:SpaceShuttle"
"415","space station","space stations","dbo:SpaceStation"
"416","species","species","dbo:Species"
"417","speedway league","speedway leagues","dbo:SpeedwayLeague"
"418","speedway rider","speedway riders","dbo:SpeedwayRider"
"419","speedway team","speedway teams","dbo:SpeedwayTeam"
"420","sport","sports","dbo:Sport"
"421","results of a sport competition","results of a sport competitions","dbo:SportCompetitionResult"
"422","sport facility","sport facilitys","dbo:SportFacility"
"423","sports club","sports clubs","dbo:SportsClub"
"424","sports event","sports events","dbo:SportsEvent"
"425","sports league","sports leagues","dbo:SportsLeague"
"426","sports manager","sports managers","dbo:SportsManager"
"427","sports season","sports seasons","dbo:SportsSeason"
"428","sports team","sports teams","dbo:SportsTeam"
"429","Sports team member","Sports team members","dbo:SportsTeamMember"
"430","sports team season","sports team seasons","dbo:SportsTeamSeason"
"431","Spy","Spys","dbo:Spy"
"432","squash player","squash players","dbo:SquashPlayer"
"433","stadium","stadiums","dbo:Stadium"
"434","star","stars","dbo:Star"
"435","station","stations","dbo:Station"
"436","stream","streams","dbo:Stream"
"437","sumo wrestler","sumo wrestlers","dbo:SumoWrestler"
"438","Supreme Court of the United States case","Supreme Court of the United States cases","dbo:SupremeCourtOfTheUnitedStatesCase"
"439","surname","surnames","dbo:Surname"
"440","swimmer","swimmers","dbo:Swimmer"
"441","table tennis player","table tennis players","dbo:TableTennisPlayer"
"442","television episode","television episodes","dbo:TelevisionEpisode"
"443","television host","television hosts","dbo:TelevisionHost"
"444","television season","television seasons","dbo:TelevisionSeason"
"445","television show","television shows","dbo:TelevisionShow"
"446","television station","television stations","dbo:TelevisionStation"
"447","tennis league","tennis leagues","dbo:TennisLeague"
"448","tennis player","tennis players","dbo:TennisPlayer"
"449","tennis tournament","tennis tournaments","dbo:TennisTournament"
"450","tenure","tenures","dbo:Tenure"
"451","theatre","theatres","dbo:Theatre"
"452","time period","time periods","dbo:TimePeriod"
"453","topical concept","topical concepts","dbo:TopicalConcept"
"454","top level domain","top level domains","dbo:TopLevelDomain"
"455","tournament","tournaments","dbo:Tournament"
"456","tower","towers","dbo:Tower"
"457","town","towns","dbo:Town"
"458","trade union","trade unions","dbo:TradeUnion"
"459","train","trains","dbo:Train"
"460","tunnel","tunnels","dbo:Tunnel"
"461","unit of work","unit of works","dbo:UnitOfWork"
"462","university","universitys","dbo:University"
"463","vaccine","vaccines","dbo:Vaccine"
"464","vein","veins","dbo:Vein"
"465","venue","venues","dbo:Venue"
"466","video game","video games","dbo:VideoGame"
"467","videogames league","videogames leagues","dbo:VideogamesLeague"
"468","village","villages","dbo:Village"
"469","voice actor","voice actors","dbo:VoiceActor"
"470","volcano","volcanos","dbo:Volcano"
"471","volleyball coach","volleyball coachs","dbo:VolleyballCoach"
"472","volleyball league","volleyball leagues","dbo:VolleyballLeague"
"473","volleyball player","volleyball players","dbo:VolleyballPlayer"
"474","water ride","water rides","dbo:WaterRide"
"475","waterway tunnel","waterway tunnels","dbo:WaterwayTunnel"
"476","weapon","weapons","dbo:Weapon"
"477","website","websites","dbo:Website"
"478","wine region","wine regions","dbo:WineRegion"
"479","winery","winerys","dbo:Winery"
"480","winter sport Player","winter sport Players","dbo:WinterSportPlayer"
"481","Women's Tennis Association tournament","Women's Tennis Association tournaments","dbo:WomensTennisAssociationTournament"
"482","work","works","dbo:Work"
"483","World Heritage Site","World Heritage Sites","dbo:WorldHeritageSite"
"484","wrestler","wrestlers","dbo:Wrestler"
"485","wrestling event","wrestling events","dbo:WrestlingEvent"
"486","writer","writers","dbo:Writer"
"487","written work","written works","dbo:WrittenWork"
"488","year","years","dbo:Year"
"489","year in spaceflight","year in spaceflights","dbo:YearInSpaceflight"
"490","Youtuber","Youtubers","dbo:Youtuber"
"491","administrative region","administrative regions","dbo:انتظامی_علاقہ"
"492","sports league","sports leagues","dbo:کھیلوں_کی_انجمن"
"493","non-profit organization","non-profit organizations","res:Nonprofit_organization"
"494","nonprofit organization","nonprofit organizations","res:Nonprofit_organization"
"495","oceanographer","oceanographers","res:Oceanography"
"496","film","films","dbo:Film"
"497","Person","Personen","dbo:Person"
"498","Mensch","Menschen","dbo:Person"